species	gene	compactness
Galen	LOC100901038	0.5795620437956205
Galen	LOC100905554	0.8030523255813954
Galen	LOC100899245	1.0
Galen	LOC108864920	0.15877128053293857
Galen	LOC100902142	0.6825192802056556
Galen	LOC100903059	0.648868778280543
Galen	LOC100903944	0.614190687361419
Galen	LOC100901672	0.05980752758603315
Galen	LOC100903346	0.45454545454545453
Galen	LOC100905546	0.6749394673123487
Galen	LOC100904165	1.0
Galen	LOC100901295	0.5775039745627981
Galen	LOC100902203	0.6297614064462118
Galen	LOC100903464	0.3581699346405229
Galen	LOC100904765	0.22978003384094756
Galen	LOC108864802	1.0
Galen	LOC100900584	0.8100654718603267
Galen	LOC100905093	0.7066395663956639
Galen	LOC108863959	0.5074911468264778
Galen	LOC100902297	0.901685393258427
Galen	LOC100907736	0.7918454935622318
Galen	LOC100906632	0.5183405008854035
Galen	LOC100905996	0.10623984106917103
Galen	LOC108864630	1.0
Galen	LOC100898402	0.620933521923621
Galen	LOC100906060	0.9734561213434453
Galen	LOC100903553	0.056828449722473216
Galen	LOC100908063	0.6626016260162602
Galen	LOC100899983	0.22722562411681582
Galen	LOC100901322	0.9995814148179154
Galen	LOC108865134	1.0
Galen	LOC100907549	0.7428737638161722
Galen	LOC100900690	0.5397456279809221
Galen	LOC100898269	0.816196542311192
Galen	LOC100898510	0.8284077201447527
Galen	LOC100900870	0.7497872340425532
Galen	LOC100897336	0.3617524086529722
Galen	LOC100903618	0.4737124463519313
Galen	LOC100900317	1.0
Galen	LOC100901646	1.0
Galen	LOC100904445	0.41411394217005437
Galen	LOC100908079	0.3056402933731421
Galen	LOC100908890	0.18007443458345262
Galen	LOC100901917	0.6010591350397175
Galen	LOC100907934	0.04504105194284388
Galen	LOC100902575	0.5236032914681681
Galen	LOC100906730	0.5470719051148999
Galen	LOC100904335	1.0
Galen	LOC100907907	0.1906397174254317
Galen	LOC100904585	0.7165796868727419
Galen	LOC100900525	0.5988339811215991
Galen	LOC100905735	0.03476322070091697
Galen	LOC100908801	0.5468531468531469
Galen	LOC100901067	1.0
Galen	LOC100899512	0.4060121765601218
Galen	LOC100902636	0.6502260583641595
Galen	LOC100900248	0.4186991869918699
Galen	LOC100902409	0.60990860990861
Galen	LOC100908097	0.04222091261155077
Galen	Trnas-aga_2	1.0
Galen	LOC100897721	0.575563783237967
Galen	LOC100908322	0.42372275812790283
Galen	LOC100901421	0.11535292502059874
Galen	LOC100904069	0.799574855754631
Galen	LOC100897895	0.4704225352112676
Galen	LOC100901867	0.46672318779143707
Galen	LOC100899787	0.3950825825825826
Galen	LOC100900381	0.17772098966198166
Galen	LOC100902333	1.0
Galen	LOC100897458	0.1615128742146113
Galen	LOC108864538	0.27633443552196507
Galen	LOC100904342	0.8074832775919732
Galen	LOC100905766	0.7455162384876394
Galen	LOC100898762	0.7597571552471812
Galen	LOC100906377	0.2335103409726104
Galen	LOC100904337	0.8266998341625207
Galen	LOC100905497	0.6751740139211136
Galen	LOC100901429	1.0
Galen	LOC100897442	0.4154355578196638
Galen	LOC100905656	0.19445108825639798
Galen	LOC100901771	1.0
Galen	LOC100908785	0.6621004566210046
Galen	LOC100906231	0.10759394978949009
Galen	LOC100898610	0.6562737642585551
Galen	LOC114828222	0.5409836065573771
Galen	LOC100907075	0.656530408773679
Galen	LOC100908572	0.5874294923448832
Galen	LOC100900339	0.7903787103377686
Galen	LOC100903877	0.24732690622261175
Galen	LOC100901695	0.8996509598603839
Galen	LOC100898838	0.20434722414509207
Galen	LOC100902118	0.6275346851654215
Galen	LOC100906526	0.8885555079297043
Galen	LOC108864555	0.7471980074719801
Galen	LOC100898161	0.43268337975858867
Galen	LOC114828091	0.4531034482758621
Galen	LOC100901633	0.7325322652425457
Galen	LOC108864607	1.0
Galen	LOC100897405	0.19845360824742267
Galen	LOC108863846	0.2105356195863532
Galen	LOC100908132	0.5913593835993396
Galen	LOC100903970	0.3742928975487115
Galen	LOC100900604	0.9123548046462513
Galen	LOC108864189	0.49302788844621515
Galen	LOC100905356	0.693522906793049
Galen	LOC100897548	0.18600451467268622
Galen	LOC100897957	0.8672752808988764
Galen	LOC100898311	0.7565086531226486
Galen	LOC100904023	0.43561414910407575
Galen	LOC100899534	0.7865572088250384
Galen	LOC114828471	0.6995926680244399
Galen	LOC100909051	0.6373626373626373
Galen	LOC100906692	0.6336601307189542
Galen	LOC100897302	0.5851648351648352
Galen	LOC100898053	0.4634166191910149
Galen	LOC100907030	0.5149047076071022
Galen	LOC100902893	0.6018376722817764
Galen	LOC100906513	1.0
Galen	LOC100900258	0.5906782193008665
Galen	LOC108864677	1.0
Galen	LOC100901656	0.6461859210203581
Galen	LOC100905627	0.15966478014801916
Galen	LOC100901781	0.7401554404145078
Galen	LOC100900766	0.6837811900191939
Galen	LOC108865268	1.0
Galen	LOC100901675	0.10236663106414076
Galen	LOC100906623	0.11771125662613034
Galen	LOC100905771	0.010954340367792253
Galen	LOC100903532	0.3746425166825548
Galen	LOC100905596	1.0
Galen	LOC100901374	1.0
Galen	LOC100900700	0.5585785089106823
Galen	Trnaq-cug_4	1.0
Galen	LOC100899184	0.46782723666813575
Galen	LOC100908232	0.5369491525423729
Galen	LOC108864550	0.7584269662921348
